state,key,svn,english,translation
NEW,hud_tooltip_leftclickboxplace,3629,[SHIFT + LMB Drag] Box place,
NEW,hud_tooltip_leftclickboxdismantle,3629,[SHIFT + LMB Drag] Box dismantle,
NEW,hud_tooltip_rightclickboxdelete,3629,[SHIFT + RMB Drag] Box delete,
NEW,hud_installqueue_inproduction,3629,QUEUED FOR PRODUCTION,
NEW,hud_installqueue_waitingforbox,3629,NONE AVAILABLE,
NEW,hud_workqueue_waitingforcrew,3629,WAITING FOR CREW,
NEW,hud_workqueue_installinprogress,3629,INSTALL IN PROGRESS,
NEW,equipment_storagecrate_capacity_mixed,3629,CAPACITY: MIXED,
NEW,equipment_storagecrate_refill_mixed,3629,MIXED PRIORITIES,
NEW,equipment_multiple_recipes,3629,MULTIPLE RECIPES,
NEW,equipment_multiple_fluids,3629,MULTIPLE FLUIDS,
NEW,equipment_multiple_types,3629,MULTIPLE TYPES,
NEW,equipment_multiple_names,3629,MULTIPLE NAMES,
NEW,equipment_on,3629,ON,
NEW,equipment_off,3629,OFF,
NEW,equipment_on_amount,3629,ON(*X),
NEW,equipment_off_amount,3629,OFF(*X),
NEW,equipment_on_off_amount,3629,ON(*X) OFF(*Y),
NEW,shipeditor_equipment_autoproduce,3629,AUTO-PRODUCE,
NEW,shipeditor_equipment_buymissing,3629,AUTO-BUY MATERIALS,
NEW,shipeditor_equipment_buymissing_tooltip,3629,Automatically buy missing materials for production.\nThis includes ingots as well as components such as frames.,
NEW,shipeditor_equipment_inboundonshuttle,3629,*X INBOUND ON SHUTTLE,
NEW,shipeditor_equipment_inproduction,3629,*X IN PRODUCTION (*Y MORE QUEUED),
NEW,shipeditor_equipment_queuedforproduction,3629,*X QUEUED FOR PRODUCTION,
NEW,shipeditor_equipment_availablecount,3629,*X AVAILABLE TO BUY,
NEW,shipeditor_equipment_waitingforstock,3629,WAITING FOR STOCK,
NEW,trade_buy_quantity,3629,BUY *X,
NEW,tactical_fighterdeployment_alert,3629,FIGHTER MODE: ALERT,
NEW,tactical_fighterdeployment_stow,3629,FIGHTER MODE: STOW,
NEW,tactical_tooltip_fighter_title,3629,Fighter Modes,
NEW,tactical_tooltip_fighter_alertcaption,3629,ALERT,
NEW,tactical_tooltip_fighter_alert,3629,Fighters will automatically deploy and engage hostile targets when battlestations is enabled.,
NEW,tactical_tooltip_fighter_stowcaption,3629,STOW,
NEW,tactical_tooltip_fighter_stow,3629,Fighters will remain stowed. Currently deployed fighters will return.,
NEW,object_powerswitch,3629,Power Switch,
NEW,object_powerswitch_description,3629,Install along a cable and toggle on and off to control power flow. Can be given a name to be easily toggled from the powergrid window.,
NEW,loader_auto_multiple_fluids,3629,AUTO (MULTIPLE FLUIDS),
NEW,loader_auto_resource,3629,AUTO (R*X),
NEW,fighter_lowfuel,3629,LOW FUEL,
NEW,fighter_noammo,3629,NO AMMO,
NEW,alert_type_novalidfactory,3629,NO VALID FACTORY,
NEW,alert_type_novalidfactory_tooltip,3629,"Your ship is trying to produce something, but there are no valid factories.\n\nThis could be due to missing pipe inputs or because a particular factory is missing (e.g. a fabricator).\n\nCheck the recipe using the recipe window and check what equipment is needed or if there are any pipe inputs.",
NEW,powergrid_category_industry,3632,INDUSTRY,
NEW,powergrid_category_mining,3632,MINING,
NEW,hud_tooltip_drone_filterwarning,3708,WARNING: This type is excluded in the ship-wide gather filter.,
NEW,hud_tooltip_drone_permitlaunch,3708,"Allow drones to launch from this drone bay. \n\nIf disabled, will prevent drones from being loaded.",
NEW,hud_tooltip_drone_permitreturn,3708,"Allow drones to return to this drone bay. \n\nIf disabled, will allow drones to drop items off but not dock at this bay.",
NEW,hud_tooltip_drone_selecttype,3708,The types that can be dropped off.,
NEW,hud_tooltip_robotarm_selecttype,3708,The types that can be picked up.,
NEW,brokenconstraint_none,3708,INVALID PLACEMENT,
NEW,brokenconstraint_interior,3708,NOT ENOUGH INTERIOR SPACE,
NEW,brokenconstraint_exterior,3708,NOT ENOUGH EXTERIOR SPACE,
NEW,brokenconstraint_wall,3708,REQUIRES WALL,
NEW,brokenconstraint_nowall,3708,OBSTRUCTED BY A WALL,
NEW,brokenconstraint_unobstructed,3708,AREA NOT CLEAR,
NEW,brokenconstraint_wallscaffold,3708,REQUIRES WALL OR SCAFFOLDING,
NEW,brokenconstraint_unobstructedontop,3708,TOP OF SHIP NOT CLEAR,
NEW,brokenconstraint_habitationontop,3708,NO HABITATION ABOVE,
NEW,equipment_factory_idle,3708,IDLE,
NEW,equipment_robotarm_numtypes,3708,*X types,
NEW,equipment_dronebay_permitlaunch,3708,PERMIT LAUNCH,
NEW,equipment_dronebay_permitreturn,3708,PERMIT RETURN,
NEW,equipment_typefilter_none,3708,SELECT PERMITTED,
NEW,equipment_typefilter_multiple,3708,MULTIPLE PERMITTED,
NEW,equipment_typefilter_all,3708,ALL PERMITTED,
NEW,equipment_typefilter_extras,3708,AND *X MORE,
NEW,equipment_typefilter_invert,3708,ALL PERMITTED EXCEPT:,
NEW,equipment_selectall,3708,SELECT ALL,
NEW,equipment_deselectall,3708,DESELECT ALL,
NEW,trade_schematics,3708,BLUEPRINTS,
NEW,trade_schematic,3708,Blueprint,
