state,key,svn,english,translation
CURRENT,logistics_log_transfertonosupply,3492,Transferred *X R*Y to L*Z out of the *P desired - insufficient cargo,*X R*Y L*Z *P のうち希望するものを移管 - 貨物不足。
CURRENT,logistics_log_transferfromnosupply,3492,Transferred *X R*Y from L*Z out of the *P desired - insufficient cargo,*X R*Y をL*Z から*P 希望外の場所に移した - 貨物不足
CURRENT,trade_paymentperjump,3472,*X (+*Y) per sector jump,セクタージャンプ１回につき*X (+*Y) 
CURRENT,award_civilianpayment,3472,CIVILIAN PAYMENT,民間人への支払い
CURRENT,award_civilianpayment_caption,3472,*X permanent residents in your fleet,*X名の艦隊永住者
CURRENT,logistics_status_default,3472,Order running,指示実行中
CURRENT,logistics_status_miningstacksfull,3472,Mined *X R*Y (*Z stacks) - storage full,[保管エリアなし] R*Yを*X個(*Zスタック)採掘 
CURRENT,logistics_status_miningstackstime,3472,Mined *X R*Y (*Z stacks) in T*P,T*Pの間R*Yを*X個(*Zスタック)採掘
CURRENT,logistics_status_miningstackstimefull,3472,Mined *X R*Y (*Z stacks) in T*P - storage full,[保管エリアなし] T*Pの間R*Yを*X個(*Zスタック)採掘
CURRENT,logistics_status_miningratio,3472,Mined *X R*Y (*Z/*P stacks),R*Yを*X個(*Z/*Pスタック)採掘
CURRENT,logistics_status_miningratiofull,3472,Mined *X R*Y (*Z/*P stacks) - storage full,[保管エリアなし] R*Yを*X個(*Z/*Pスタック)採掘
CURRENT,logistics_status_miningonboard,3472,"Mined *X R*Y (*Z stacks on board, *P desired) - storage full",[保管エリアなし] R*Yを*X個(*Pスタックのうち*Zスタック所持)採掘
CURRENT,logistics_status_collectcontainersfull,3472,Collected *X R*Y (*Z containers) - storage full,[保管エリアなし] R*Yを*X個(*Zコンテナ)回収
CURRENT,logistics_status_collectcontainerstime,3472,Collected *X R*Y (*Z containers) in T*P,T*Pの間R*Yを*X個(*Zコンテナ)回収
CURRENT,logistics_status_collectcontainerstimefull,3472,Collected *X R*Y (*Z containers) in T*P - storage full,[保管エリアなし] T*Pの間R*Yを*X個(*Zコンテナ)回収
CURRENT,logistics_status_collectratio,3472,Collected *X R*Y (*Z/*P containers),R*Yを*X個(*Z/*Pコンテナ)回収
CURRENT,logistics_status_collectratiofull,3472,Collected *X R*Y (*Z/*P containers) - storage full,[保管エリアなし] R*Yを*X個(*Z/*Pコンテナ)回収
CURRENT,logistics_status_collectonboard,3472,"Collected *X R*Y (*Z containers on board, *P desired) - storage full",[保管エリアなし] R*Yを*X個(*Pのうち*Zコンテナ所持)回収
CURRENT,logistics_status_transfertonosupply,3472,Transferring *X R*Y to L*Z out of the *P desired - insufficient cargo,[貨物不足] R*Y *X個を*PからL*Zへ移送
CURRENT,logistics_status_transferfromnosupply,3472,Transferring *X R*Y from L*Z out of the *P desired - insufficient cargo,[貨物不足] R*Y*X個をL*Zから*Pへ移送
CURRENT,logistics_status_buyzero,3472,Bought *X R*Y,R*Yを*X個購入
CURRENT,logistics_status_buyzeronomoney,3472,Bought *X R*Y out of the *Z desired - insufficient funds,[資金不足] *Z要求のうちR*Yを*X個購入
CURRENT,logistics_status_buyzeronosupply,3472,Bought *X R*Y out of the *Z desired - insufficient supply,[物資不足] *Z要求のうちR*Yを*X個購入
CURRENT,logistics_status_sellzero,3472,Sold *X R*Y,R*Yを*X個売却
CURRENT,logistics_status_sellzeronosupply,3472,Sold *X R*Y out of the *P desired - insufficient cargo,[物資不足] *P要求のうちR*Yを*X個売却
CURRENT,logistics_log_transfertofull,3472,Transferred *X R*Y to L*Z - destination storage full,[移送先保管エリアなし] R*Y *X個をL*Zへ移送
CURRENT,logistics_log_transferfromfull,3472,Transferred *X R*Y from L*Z - destination storage full,[移送先保管エリアなし] R*Y *X個をL*Zから移送
CURRENT,logistics_log_transfertofull1,3472,Transferred *X R*Y to L*Z out of the *P desired - destination storage full,[移送先保管エリアなし] *PのうちR*Y *X個をL*Zへ移送
CURRENT,logistics_log_transferfromfull1,3472,Transferred *X R*Y from L*Z out of the *P desired - destination storage full,[移送先保管エリアなし] *PのうちR*Y *X個をL*Zから移送
CURRENT,logistics_status_buynomoney,3472,Bought *X R*Y for $*Z out of the *P desired - insufficient funds,[資金不足] $*Zした*PのうちR*Yを*X個購入
CURRENT,logistics_status_buynosupply,3472,Bought *X R*Y for $*Z out of the *P desired - insufficient supply,[在庫不足] $*Zした*PのうちR*Yを*X個購入
CURRENT,logistics_status_sellnosupply,3472,Sold *X R*Y for $*Z out of the *P desired - insufficient cargo,[物資不足] $*Zした*PのうちR*YをX個売却
CURRENT,logistics_status_miningstacks,3472,Mined *X R*Y (*Z stacks),R*Yを*X個(*Zスタック)採掘
CURRENT,logistics_status_collectcontainers,3472,Collected *X R*Y (*Z containers),R*Yを*X個(*Zコンテナ)回収
