state,key,svn,english,translation
CURRENT,alert_type_co2_caption,2448,*X% Fatal,*X% Dødelig
CURRENT,blackhole_part3_marcus2,2624,"Dock your ship with mine, Captain, and tell me when you're ready for me to come on board.  Please hurry!","Dok dit skib med mit, kaptajn, og sig til, når du er klar til, at jeg kan komme ombord. Skynd dig venligst!"
CURRENT,blackhole_part3_marcusdata1,2624,"The Stargate data?  I can send that, Captain, but you'll have to give me a few minutes to access the data and set up the transmission.","Stargate-dataene? Jeg kan sende dem, kaptajn, men du bliver nødt til at give mig et par minutter til at få adgang til dataene og opsætte transmissionen."
CURRENT,blackhole_part3_marcusrescue1,2624,"I'm onboard, Captain.  Get us out of here!","Jeg er ombord, kaptajn. Få os ud herfra!"
CURRENT,blackhole_part3_marcuswarning1,2624,"My ship is falling apart from the gravitional forces, Captain.  I've sent the data that I can.  Please hurry and get me off this ship!","Mit skib falder fra hinanden på grund af de gravitationelle kræfter, kaptajn. Jeg har sendt de data, jeg kunne. Skynd dig og få mig af dette skib!"
CURRENT,blackhole_part3_marcuswarning2,2624,"The reactor containment has failed, Captain.  The cabin is being flooded with radiation.  You have to get me out of here!","Reaktorens indkapsling er svigtet, kaptajn. Kabinen fyldes med stråling. Du må få mig ud herfra!"
CURRENT,blackhole_part3_outcomea2,2624,"Thank you so much, Captain. I couldn't have succeeded without your help. I'm so grateful you took my call and were here for us when we needed you.","Mange tak, kaptajn. Jeg kunne ikke have klaret det uden din hjælp. Jeg er så taknemmelig for, at du tog imod min opkald og var her for os, da vi havde brug for dig."
CURRENT,blackhole_part3_stargate1,2624,"Greetings, Captain.  Good luck with the rescue.  Remember the data onboard Marcus' ship is extremely valuable to us.  You'll need Marcus to transmit the data from his console before you can complete the rescue.","Hilsner, kaptajn. Held og lykke med redningen. Husk, at dataene ombord på Marcus' skib er yderst værdifulde for os. Du får brug for, at Marcus sender dataene fra hans konsol, før du kan fuldføre redningen."
CURRENT,blackhole_part3_stargateoutcomea1,2624,"We're really disappointed in your choices, Captain.  You've let us down and you've let the whole Stargate Project down, with your incredibly narrow thinking.","Vi er virkelig skuffede over dine valg, kaptajn. Du har svigtet os, og du har svigtet hele Stargate-projektet med din utroligt snævre tankegang."
CURRENT,blackhole_part3_stargateoutcomeb1,2624,"Well done on retrieving some of the data, Captain.  We would have preferred all of it, but we appreciate the rescue was under extreme duress.","Godt klaret med at hente nogle af dataene, kaptajn. Vi ville have foretrukket alle dataene, men vi forstår, at redningen foregik under ekstremt pres."
