state,key,svn,english,translation
CURRENT,alert_type_noreturndronebay,3718,DRONES STUCK,DRONY UVÍZLY
CURRENT,alert_type_noreturndronebay_caption1,3718,No drone bay to return to.,Nemám kam se vrátit do Hangáru pro drony.
CURRENT,alert_type_noreturndronebay_caption2,3718,No drone bay permits return.,Žádné povolení k přistání v hangáru pro drony není možné.
CURRENT,hud_tooltip_drone_filterwarning,3708,WARNING: This type is excluded in the ship-wide gather filter.,UPOZORNĚNÍ: Tento typ je vyloučen z filtru sběru pro celou loď.
CURRENT,hud_tooltip_drone_permitlaunch,3708,"Allow drones to launch from this drone bay. \n\nIf disabled, will prevent drones from being loaded.","Povolte startování bezpilotních letounů z tohoto hangáru pro drony. \n\nPokud je tato funkce vypnutá, zabrání načítání dronů."
CURRENT,hud_tooltip_drone_permitreturn,3708,"Allow drones to return to this drone bay. \n\nIf disabled, will allow drones to drop items off but not dock at this bay.","Umožňuje návrat dronů do tohoto hangáru pro drony. \n\nPokud je tato funkce vypnutá, umožní dronům odložit předměty, ale ne připojit se k tomuto přístavišti."
CURRENT,hud_tooltip_drone_selecttype,3708,The types that can be dropped off.,"Typy, které lze vysadit."
CURRENT,hud_tooltip_robotarm_selecttype,3708,The types that can be picked up.,"Typy, které lze vyzvednout."
CURRENT,brokenconstraint_none,3708,INVALID PLACEMENT,NEPLATNÉ UMÍSTĚNÍ
CURRENT,brokenconstraint_interior,3708,NOT ENOUGH INTERIOR SPACE,NEDOSTATEČNÝ VNITŘNÍ PROSTOR
CURRENT,brokenconstraint_exterior,3708,NOT ENOUGH EXTERIOR SPACE,NEDOSTATEČNÝ VNĚJŠÍ PROSTOR
CURRENT,brokenconstraint_wall,3708,REQUIRES WALL,VYŽADUJE STĚNU
CURRENT,brokenconstraint_nowall,3708,OBSTRUCTED BY A WALL,ZAKRYTÉ STĚNOU
CURRENT,brokenconstraint_unobstructed,3708,AREA NOT CLEAR,OBLAST NENÍ ČISTÁ
CURRENT,brokenconstraint_wallscaffold,3708,REQUIRES WALL OR SCAFFOLDING,VYŽADUJE STĚNU NEBO LEŠENÍ
CURRENT,brokenconstraint_unobstructedontop,3708,TOP OF SHIP NOT CLEAR,HORNÍ ČÁST LODI NENÍ ZŘETELNÁ
CURRENT,brokenconstraint_habitationontop,3708,NO HABITATION ABOVE,ŽÁDNÉ OBYDLÍ NAD NIMI
CURRENT,equipment_factory_idle,3708,IDLE,IDLE
CURRENT,equipment_robotarm_numtypes,3708,*X types,*X typy
CURRENT,equipment_dronebay_permitlaunch,3708,PERMIT LAUNCH,POVOLENÍ K VYPUŠTĚNÍ
CURRENT,equipment_dronebay_permitreturn,3708,PERMIT RETURN,VRÁCENÍ POVOLENÍ
CURRENT,equipment_typefilter_none,3708,SELECT PERMITTED,VYBRAT POVOLENÝ
CURRENT,equipment_typefilter_multiple,3708,MULTIPLE PERMITTED,VÍCE POVOLENÝCH
CURRENT,equipment_typefilter_all,3708,ALL PERMITTED,VŠE POVOLENO
CURRENT,equipment_typefilter_extras,3708,AND *X MORE,A *X VÍCE
CURRENT,equipment_typefilter_invert,3708,ALL PERMITTED EXCEPT:,VŠECHNY POVOLENY S VÝJIMKOU:
CURRENT,equipment_selectall,3708,SELECT ALL,VYBRAT VŠE
CURRENT,equipment_deselectall,3708,DESELECT ALL,VYBRAT VŠE
CURRENT,trade_schematics,3708,BLUEPRINTS,BLUEPRINTS
CURRENT,trade_schematic,3708,Blueprint,Blueprint
CURRENT,trade_schematic_warning,3708,This is a blueprint. Purchasing this will unlock the schematic but will not deliver any equipment.\n\nAssembly tables and fabricators are required to produce the equipment.,"Jedná se o plán. Jeho zakoupením se odemkne schéma, ale nedodá se žádné vybavení.\n\nK výrobě vybavení jsou zapotřebí montážní stoly a fabrikátory."
CURRENT,special_smartdronebays,3708,Smart Drone Bays,Chytré hangáry pro drony
CURRENT,techtree_blueprintunlocked_title,3708,BLUEPRINT UNLOCKED,ODEMČENÝ PLÁN
CURRENT,techtree_alreadyunlocked,3708,ALREADY UNLOCKED,JIŽ ODEMČENÉ
CURRENT,logistics_window_tanks,3708,[STORED IN TANKS],[ULOŽENO V NÁDRŽÍCH]
CURRENT,logistics_extras_anycargo_tooltip,3708,"If this is checked, general storage zones will be considered alongside type specific storage zones when determining whether storage is full.","Pokud je tato možnost zaškrtnuta, budou při určování, zda je úložiště plné, brány v úvahu vedle obecných úložných zón i úložné zóny specifické pro daný typ."
CURRENT,logistics_extras_preventdocking,3708,PREVENT DOCKING,ZABRÁNIT DOKOVÁNÍ
CURRENT,logistics_extras_preventdocking_tooltip,3708,"If this is checked, the two ships won't dock. Otherwise, this ship will try to dock if the transfer is large or not enough drones are available.","Pokud je tato možnost zaškrtnuta, obě lodě nebudou kotvit. V opačném případě se tato loď pokusí zakotvit, pokud je přenos velký nebo není k dispozici dostatek bezpilotních letounů."
CURRENT,logistics_status_travellingaligning,3708,Aligning for jump,Zarovnání pro skok
CURRENT,logistics_status_travellingdrones,3708,Waiting for *X deployed drones,Čekání na nasazení bezpilotních letounů *X 
CURRENT,logistics_status_travellingtrade,3708,Waiting for trade to complete,Čekání na dokončení obchodu
CURRENT,logistics_status_transferdocking,3708,Docking with L*X to transfer R*Y through docking port,Dokování s L*X pro přenos R*Y přes Dokovací port
CURRENT,order_tooltip_dronegatherfilter,3708,Edit which items drones from this ship should pick up or ignore,"Upravit, které předměty mají drony z této lodi vyzvedávat nebo ignorovat"
CURRENT,orders_drones_alltoggle,3708,ALL RESOURCES,VŠECHNY ZDROJE
CURRENT,orders_drones_materialstoggle,3708,MATERIALS,MATERIÁLY
CURRENT,object_superconductorcomponent,3708,Superconductor,Supravodič
CURRENT,object_reactorcorecomponent,3708,Reactor Core,Jádro Reaktoru
CURRENT,object_computegridcomponent,3708,Compute Grid,Výpočetní síť
CURRENT,object_thermalstabilisercomponent,3708,Heat Exchanger,Výměník tepla
CURRENT,shipeditor_equipment_autoproduce_tooltip,3708,"Automatically produce missing equipment using available assembly tables and fabricators.\nAny assembly table or fabricator that is set to ""IDLE"" will be used. They will be set back to ""IDLE"" when production has finished.","Automaticky vyrobí chybějící vybavení pomocí dostupných montážních stolů a fabrikátorů.\nBude použit jakýkoli montážní stůl nebo fabrikátor, který je nastaven na ""IDLE"". Po ukončení výroby budou nastaveny zpět na ""IDLE""."
CURRENT,techtree_node_caption_logistics1,3708,Unlocks schematics for small logistics storage. Unlocks smart drone bays allowing to filter which items are dropped off and whether drones should launch from and return to it,"Odemkne schémata pro malé logistické sklady. Odemkne chytré hangáry pro drony, které umožňují filtrovat, které předměty jsou z nich vysazeny a zda z nich mají drony startovat a vracet se do nich"
CURRENT,logistics_condition_untilstorage,3708,Until on board,Až do nástupu na palubu
CURRENT,logistics_extras_anycargo,3708,INCLUDE GENERAL STORAGE ZONES,ZAHRNUJÍ OBECNÉ SKLADOVACÍ ZÓNY
CURRENT,logistics_tooltip_loop,3708,"Loop execution. If off, will stop after completing the last order.","Provedení smyčky. Pokud je vypnuto, zastaví se po dokončení poslední objednávky."
CURRENT,order_gather,3708,Gather,Shromáždit
CURRENT,order_tooltip_gather,3708,Allow drones to gather,Umožnit dronům shromažďovat
CURRENT,tutorial_miningfleetorders,3708,You also need to make sure that <b>GATHER</b> is enabled in <b>FLEET ORDERS</b>.,"Musíte se také ujistit, že <b>je</b> v položce <b>OBJEDNÁVKY PLAVEBNY</b> povoleno <b>SHAZOVÁNÍ</b> <b>.</b>"
CURRENT,hud_tooltip_leftclickboxplace,3639,[SHIFT + LMB Drag] Box place,[SHIFT + LMB Drag] Umístění bedny
CURRENT,hud_tooltip_leftclickboxdismantle,3639,[SHIFT + LMB Drag] Box dismantle,[SHIFT + LMB Drag] Demontáž bedny
CURRENT,hud_tooltip_rightclickboxdelete,3639,[SHIFT + RMB Drag] Box delete,[SHIFT + RMB Drag] Odstranění bedny
CURRENT,hud_installqueue_inproduction,3639,QUEUED FOR PRODUCTION,ČEKÁ VE FRONTĚ NA VÝROBU
CURRENT,hud_installqueue_waitingforbox,3639,NONE AVAILABLE,NENÍ DOSTUPNÉ
CURRENT,hud_workqueue_waitingforcrew,3639,WAITING FOR CREW,ČEKÁNÍ NA POSÁDKU
CURRENT,hud_workqueue_installinprogress,3639,INSTALL IN PROGRESS,PROBÍHÁ INSTALACE
CURRENT,equipment_storagecrate_capacity_mixed,3639,CAPACITY: MIXED,KAPACITA: SMÍŠENÁ
CURRENT,equipment_storagecrate_refill_mixed,3639,MIXED PRIORITIES,SMÍŠENÉ PRIORITY
CURRENT,equipment_multiple_recipes,3639,MULTIPLE RECIPES,VÍCE RECEPTŮ
CURRENT,equipment_multiple_fluids,3639,MULTIPLE FLUIDS,VÍCE TEKUTIN
CURRENT,equipment_multiple_types,3639,MULTIPLE TYPES,VÍCE TYPŮ
CURRENT,equipment_multiple_names,3639,MULTIPLE NAMES,VÍCE JMEN
CURRENT,equipment_on,3639,ON,NA
CURRENT,equipment_off,3639,OFF,OFF
CURRENT,equipment_on_amount,3639,ON(*X),ON(*X)
CURRENT,equipment_off_amount,3639,OFF(*X),OFF(*X)
CURRENT,equipment_on_off_amount,3639,ON(*X) OFF(*Y),ON(*X) OFF(*Y)
CURRENT,shipeditor_equipment_autoproduce,3639,AUTO-PRODUCE,AUTO-PRODUCE
CURRENT,shipeditor_equipment_buymissing,3639,AUTO-BUY MATERIALS,AUTOMATICKÝ NÁKUP MATERIÁLŮ
CURRENT,shipeditor_equipment_buymissing_tooltip,3639,Automatically buy missing materials for production.\nThis includes ingots as well as components such as frames.,"Automatický nákup chybějících materiálů pro výrobu.\nPatří sem ingoty i komponenty, například rámy."
CURRENT,shipeditor_equipment_inboundonshuttle,3639,*X INBOUND ON SHUTTLE,*X PŘÍJEZD RAKETOPLÁNU
CURRENT,shipeditor_equipment_inproduction,3639,*X IN PRODUCTION (*Y MORE QUEUED),*X VE VÝROBĚ (*Y DALŠÍ VE FRONTĚ)
CURRENT,shipeditor_equipment_queuedforproduction,3639,*X QUEUED FOR PRODUCTION,*X ČEKÁ VE FRONTĚ NA VÝROBU
CURRENT,shipeditor_equipment_availablecount,3639,*X AVAILABLE TO BUY,*X K DISPOZICI KE KOUPI
CURRENT,shipeditor_equipment_waitingforstock,3639,WAITING FOR STOCK,ČEKÁNÍ NA SKLADOVÉ ZÁSOBY
CURRENT,powergrid_category_industry,3639,INDUSTRY,PRŮMYSL
CURRENT,powergrid_category_mining,3639,MINING,TĚŽBA
CURRENT,trade_buy_quantity,3639,BUY *X,KOUPIT NA *X
CURRENT,techtree_cost_rp+cp,3639,Cost: *X RP + *Y CP,Náklady: *X RP + *Y CP
CURRENT,tactical_fighterdeployment_alert,3639,FIGHTER MODE: ALERT,REŽIM STÍHAČE: ALERT
CURRENT,tactical_fighterdeployment_stow,3639,FIGHTER MODE: STOW,REŽIM STÍHAČKY: ULOŽENÍ
CURRENT,tactical_tooltip_fighter_title,3639,Fighter Modes,Režimy stíhače
CURRENT,tactical_tooltip_fighter_alertcaption,3639,ALERT,ALERT
CURRENT,tactical_tooltip_fighter_alert,3639,Fighters will automatically deploy and engage hostile targets when battlestations is enabled.,"Stíhače se automaticky rozmístí a zaútočí na nepřátelské cíle, když jsou povoleny bitevní stanice."
CURRENT,tactical_tooltip_fighter_stowcaption,3639,STOW,STOW
CURRENT,tactical_tooltip_fighter_stow,3639,Fighters will remain stowed. Currently deployed fighters will return.,Stíhače zůstanou uloženy. V současnosti nasazené stíhačky se vrátí.
CURRENT,object_powerswitch,3639,Power Switch,Vypínač napájení
CURRENT,object_powerswitch_description,3639,Install along a cable and toggle on and off to control power flow. Can be given a name to be easily toggled from the powergrid window.,"Instalujte podél kabelu a zapínáním a vypínáním ovládejte tok energie. Lze mu přiřadit jméno, které lze snadno přepínat v okně powergrid."
CURRENT,loader_auto_multiple_fluids,3639,AUTO (MULTIPLE FLUIDS),AUTO (VÍCE KAPALIN)
CURRENT,loader_auto_resource,3639,AUTO (R*X),AUTO (R*X)
CURRENT,fighter_lowfuel,3639,LOW FUEL,NÍZKÝ OBSAH PALIVA
CURRENT,fighter_noammo,3639,NO AMMO,ŽÁDNÁ MUNICE
